NAME;TYPE;CLASS
MARAN CANOPUS;VLCC;Canopus
MARAN CAPRICORN;VLCC;Canopus
MARAN PLATO;SUEZMAX;Plato
MARAN PYTHIA;SUEZMAX;Plato
MARAN ATLAS;AFRAMAX;Atlas
MARAN LUPUS;VLCC;Lupus
MARAN PENELOPE;SUEZMAX;Plato
MARAN POSEIDON;SUEZMAX;Plato
MARAN LYRA;VLCC;Lupus
MARAN ARCTURUS;VLCC;Arcturus
MARAN LYNX;VLCC;Lupus
MARAN THALEIA;VLCC;Arcturus
MARAN TAURUS;VLCC;Arcturus
MARAN ANTARES;VLCC;Arcturus
MARAN THETIS;VLCC;Arcturus
MARAN CLEO;VLCC;Cleo
MARAN LIBRA;VLCC;Cleo
MARAN LEO;VLCC;Cleo
MARAN APOLLO;VLCC;Apollo
MARAN ARTEMIS;VLCC;Apollo
MARAN ATHENA;VLCC;Apollo
MARAN ARETE;VLCC;Apollo
MARAN ARIADNE;VLCC;Apollo
SOPHIA;VLCC;Apollo
MARAN HERMIONE;SUEZMAX;Hermione
MARAN HELEN;SUEZMAX;Hermione
MARAN HERMES;SUEZMAX;Hermione
MARAN HERCULES;SUEZMAX;Hermione
MARAN HELIOS;SUEZMAX;Hermione
MARAN AJAX;VLCC;Ajax
MARAN HOMER;SUEZMAX;Hermione
MARAN ARES;VLCC;Ajax
MARAN APHRODITE;VLCC;Aphrodite
MARAN ATALANTA;VLCC;Ajax
RICHMOND VOYAGER;VLCC;Voyager
EL SEGUNDO VOYAGER;VLCC;Voyager
PASCAGOULA VOYAGER;VLCC;Voyager
SAN RAMON VOYAGER;VLCC;Voyager
HOUSTON VOYAGER;VLCC;Voyager
LONDON VOYAGER;VLCC;Voyager
SINGAPORE VOYAGER;VLCC;Voyager
MARAN PHOEBE;SUEZMAX;Phoebe
MARAN ORPHEUS;SUEZMAX;Phoebe
MARAN MIRA;VLCC;Aphrodite
MARAN ASPASIA;SUEZMAX;Phoebe
MARAN SOLON;SUEZMAX;Phoebe
GLASGOW VOYAGER;VLCC;Antiope
MARAN ANTIOPE;VLCC;Antiope
MARAN MARS;VLCC;Aphrodite
ANTONIS I. ANGELICOUSSIS;VLCC;Angelicoussis
MARIA A. ANGELICOUSSIS;VLCC;Angelicoussis
MARAN DANAE;VLCC;Angelicoussis
MARAN DIONE;VLCC;Angelicoussis
